tool,severity,rule_id,rule_name,path,line,column,message
pylint,warning,W0707,raise-missing-from,app/api/order.py,24,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/order.py,51,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,convention,C0305,trailing-newlines,app/api/order.py,52,0,Trailing newlines
pylint,warning,W0611,unused-import,app/config.py,2,0,Unused import os
pylint,convention,C0303,trailing-whitespace,app/config.py,10,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/config.py,15,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/config.py,23,0,Trailing newlines
pylint,convention,C0415,import-outside-toplevel,app/db.py,38,4,"Import outside toplevel (app.models.User, app.models.Category, app.models.Dish, app.models.OptionGroup, app.models.OptionItem, app.models.Order, app.models.OrderItem, app.models.order_item_options)"
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused User imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused Category imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused Dish imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused OptionGroup imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused OptionItem imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused Order imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused OrderItem imported from app.models
pylint,warning,W0611,unused-import,app/db.py,38,4,Unused order_item_options imported from app.models
pylint,convention,C0305,trailing-newlines,app/db.py,43,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,app/main.py,8,0,"third party import ""from fastapi import Request"" should be placed before ""from app.db import init_db"""
pylint,convention,C0412,ungrouped-imports,app/main.py,8,0,Imports from package fastapi are not grouped
pylint,warning,W0404,reimported,app/main.py,8,0,Reimport 'Request' (imported line 2)
pylint,warning,W0613,unused-argument,app/main.py,53,46,Unused argument 'order_id'
pylint,convention,C0305,trailing-newlines,app/main.py,67,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,app/models/__init__.py,20,0,Trailing newlines
pylint,warning,W0611,unused-import,app/models/dish.py,2,0,Unused Decimal imported from decimal
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,15,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,19,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,22,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,34,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,42,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,46,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,53,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,73,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,80,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,92,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/dish.py,98,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/models/dish.py,101,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,app/models/enums.py,23,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/models/order.py,25,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,31,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,35,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,42,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,51,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,60,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,77,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,83,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/order.py,92,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/models/order.py,100,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/models/user.py,13,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/user.py,17,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/user.py,20,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/models/user.py,24,0,Trailing whitespace
pylint,warning,W0107,unnecessary-pass,app/models/user.py,27,8,Unnecessary pass statement
pylint,convention,C0305,trailing-newlines,app/models/user.py,28,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,app/schemas/__init__.py,2,0,Trailing newlines
pylint,warning,W0611,unused-import,app/schemas/dish.py,3,0,Unused List imported from typing
pylint,convention,C0303,trailing-whitespace,app/schemas/dish.py,12,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/schemas/dish.py,26,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/schemas/dish.py,49,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/schemas/option.py,13,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/schemas/option.py,27,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/schemas/option.py,31,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/schemas/order.py,30,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/schemas/order.py,44,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/schemas/order.py,53,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/schemas/user.py,15,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/schemas/user.py,19,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,app/services/__init__.py,7,0,Trailing newlines
pylint,refactor,R1732,consider-using-with,app/services/exp4_experiment_service.py,17,8,Consider using 'with' for resource-allocating operations
pylint,warning,W0718,broad-exception-caught,app/services/exp4_experiment_service.py,36,11,Catching too general exception Exception
pylint,warning,W0102,dangerous-default-value,app/services/exp4_experiment_service.py,48,0,Dangerous default value [] as argument
pylint,convention,C0305,trailing-newlines,app/services/exp4_experiment_service.py,63,0,Trailing newlines
pylint,warning,W0611,unused-import,app/services/image_service.py,3,0,Unused import os
pylint,convention,C0411,wrong-import-order,app/services/image_service.py,9,0,"third party import ""from sqlalchemy.orm import Session"" should be placed before ""from app.config import settings"""
pylint,convention,C0415,import-outside-toplevel,app/services/image_service.py,60,16,Import outside toplevel (base64)
pylint,warning,W0718,broad-exception-caught,app/services/image_service.py,82,19,Catching too general exception Exception
pylint,convention,C0305,trailing-newlines,app/services/image_service.py,88,0,Trailing newlines
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,8,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,11,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,22,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,35,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,38,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,41,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,45,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,57,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,60,0,Trailing whitespace
pylint,warning,W0718,broad-exception-caught,app/services/inventory_service.py,73,19,Catching too general exception Exception
pylint,convention,C0303,trailing-whitespace,app/services/inventory_service.py,77,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/services/inventory_service.py,87,0,Trailing newlines
pylint,warning,W0611,unused-import,app/services/menu_service.py,4,0,Unused and_ imported from sqlalchemy
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,11,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,14,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,22,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,38,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,42,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,46,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,48,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,55,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,56,68,Trailing whitespace
pylint,convention,C0415,import-outside-toplevel,app/services/menu_service.py,59,8,Import outside toplevel (app.models.enums.DishStatus)
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,72,0,Trailing whitespace
pylint,convention,C0415,import-outside-toplevel,app/services/menu_service.py,75,8,Import outside toplevel (app.models.enums.DishStatus)
pylint,convention,C0303,trailing-whitespace,app/services/menu_service.py,79,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/services/menu_service.py,127,0,Trailing newlines
pylint,warning,W0611,unused-import,app/services/order_service.py,5,0,Unused and_ imported from sqlalchemy
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,15,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,19,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,47,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,49,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,63,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,68,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,73,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,86,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,96,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,99,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,103,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,112,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,116,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,126,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,129,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,139,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,142,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,151,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,163,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,173,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,186,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,190,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,194,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/services/order_service.py,198,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/services/order_service.py,210,0,Trailing newlines
pylint,warning,W0611,unused-import,scripts/gen_images.py,17,0,Unused Iterable imported from typing
pylint,convention,C0413,wrong-import-position,scripts/gen_images.py,23,0,"Import ""from app.db import SessionLocal"" should be placed at the top of the module"
pylint,convention,C0413,wrong-import-position,scripts/gen_images.py,24,0,"Import ""from app.models.dish import Dish"" should be placed at the top of the module"
pylint,refactor,R0911,too-many-return-statements,scripts/gen_images.py,50,0,Too many return statements (7/6)
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,58,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,62,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,67,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,72,0,Trailing whitespace
pylint,warning,W0718,broad-exception-caught,scripts/gen_images.py,77,15,Catching too general exception Exception
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,79,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,130,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/gen_images.py,142,0,Trailing whitespace
pylint,warning,W0718,broad-exception-caught,scripts/gen_images.py,147,19,Catching too general exception Exception
pylint,convention,C0305,trailing-newlines,scripts/gen_images.py,159,0,Trailing newlines
pylint,convention,C0413,wrong-import-position,scripts/seed.py,8,0,"Import ""from decimal import Decimal"" should be placed at the top of the module"
pylint,convention,C0413,wrong-import-position,scripts/seed.py,9,0,"Import ""from app.db import SessionLocal, init_db"" should be placed at the top of the module"
pylint,convention,C0413,wrong-import-position,scripts/seed.py,10,0,"Import ""from app.models.user import User"" should be placed at the top of the module"
pylint,convention,C0413,wrong-import-position,scripts/seed.py,11,0,"Import ""from app.models.dish import Category, Dish, OptionGroup, OptionItem"" should be placed at the top of the module"
pylint,convention,C0413,wrong-import-position,scripts/seed.py,12,0,"Import ""from app.models.enums import DishStatus, OptionType"" should be placed at the top of the module"
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,19,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,26,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,28,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,33,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,45,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,53,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,59,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,65,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,71,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,78,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,90,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,105,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,117,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,124,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,135,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,142,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,153,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,160,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,162,0,Trailing whitespace
pylint,warning,W1309,f-string-without-interpolation,scripts/seed.py,167,14,Using an f-string that does not have any interpolated variables
pylint,warning,W1309,f-string-without-interpolation,scripts/seed.py,168,14,Using an f-string that does not have any interpolated variables
pylint,warning,W1309,f-string-without-interpolation,scripts/seed.py,170,14,Using an f-string that does not have any interpolated variables
pylint,warning,W1309,f-string-without-interpolation,scripts/seed.py,171,14,Using an f-string that does not have any interpolated variables
pylint,convention,C0303,trailing-whitespace,scripts/seed.py,176,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,scripts/seed.py,187,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,tests/__init__.py,2,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,tests/conftest.py,7,0,"third party import ""from fastapi.testclient import TestClient"" should be placed before ""from app.db import Base, get_db"""
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,16,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,19,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,21,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/conftest.py,26,11,Redefining name 'db_session' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,33,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,35,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/conftest.py,38,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,tests/conftest.py,40,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,tests/test_concurrency.py,3,0,"standard import ""import threading"" should be placed before ""import pytest"""
pylint,convention,C0411,wrong-import-order,tests/test_concurrency.py,4,0,"standard import ""from decimal import Decimal"" should be placed before ""import pytest"""
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,29,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_concurrency.py,42,43,Redefining name 'test_users' from outer scope (line 14)
pylint,warning,W0621,redefined-outer-name,tests/test_concurrency.py,42,55,Redefining name 'limited_dish' from outer scope (line 24)
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,55,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,69,0,Trailing whitespace
pylint,warning,W0612,unused-variable,tests/test_concurrency.py,73,8,Unused variable 'e'
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,78,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,82,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,86,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,90,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,94,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_concurrency.py,104,27,Redefining name 'test_users' from outer scope (line 14)
pylint,warning,W0621,redefined-outer-name,tests/test_concurrency.py,104,39,Redefining name 'limited_dish' from outer scope (line 24)
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,112,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,121,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,128,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_concurrency.py,131,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,tests/test_concurrency.py,137,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,tests/test_inventory.py,3,0,"standard import ""from decimal import Decimal"" should be placed before ""import pytest"""
pylint,warning,W0611,unused-import,tests/test_inventory.py,4,0,Unused User imported from app.models.user
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,16,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,29,44,Redefining name 'sample_dish' from outer scope (line 11)
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,35,46,Redefining name 'sample_dish' from outer scope (line 11)
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,41,43,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,45,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,50,42,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,54,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,57,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,61,42,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,64,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,69,43,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,73,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,76,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,80,43,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,84,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,87,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,91,51,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,94,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_inventory.py,99,31,Redefining name 'sample_dish' from outer scope (line 11)
pylint,convention,C0303,trailing-whitespace,tests/test_inventory.py,103,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,tests/test_inventory.py,105,0,Trailing newlines
pylint,refactor,R0401,cyclic-import,tests/test_order.py,1,0,Cyclic import (app.db -> app.models -> app.models.order)
pylint,refactor,R0401,cyclic-import,tests/test_order.py,1,0,Cyclic import (app.db -> app.models -> app.models.dish)
pylint,refactor,R0401,cyclic-import,tests/test_order.py,1,0,Cyclic import (app.db -> app.models -> app.models.user)
pylint,refactor,R0801,duplicate-code,tests/test_order.py,1,0,"Similar lines in 2 files
==app.api.admin:[120:136]
==app.api.order:[32:48]
    service = OrderService(db)
    order = service.get_order_by_id(order_id)
    if not order:
        raise HTTPException(status_code=404, detail=""订单不存在"")
    return order


@router.post(""/orders/{order_id}/complete"", status_code=204)
def complete_order(order_id: int, db: Session = Depends(get_db)):
    """"""
    完成订单
    前置条件：status == Submitted
    后置条件：status = Completed
    """"""
    service = OrderService(db)
    try:"
pylint,refactor,R0801,duplicate-code,tests/test_order.py,1,0,"Similar lines in 2 files
==app.api.admin:[147:156]
==app.api.order:[46:51]
    service = OrderService(db)
    try:
        service.cancel_order(order_id)
    except ValueError as e:
        raise HTTPException(status_code=400, detail=str(e))"
pylint,refactor,R0801,duplicate-code,tests/test_order.py,1,0,"Similar lines in 2 files
==tests.test_concurrency:[25:31]
==tests.test_inventory:[12:18]
    category = Category(name=""测试分类"", sort_order=1)
    db_session.add(category)
    db_session.flush()

    dish = Dish(
        category_id=category.category_id,"
pylint,convention,C0411,wrong-import-order,tests/test_order.py,3,0,"standard import ""from decimal import Decimal"" should be placed before ""import pytest"""
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,26,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,46,42,Redefining name 'test_user' from outer scope (line 12)
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,46,53,Redefining name 'test_dishes' from outer scope (line 21)
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,49,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,58,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,60,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,64,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,72,47,Redefining name 'test_user' from outer scope (line 12)
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,72,58,Redefining name 'test_dishes' from outer scope (line 21)
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,75,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,83,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,86,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,92,49,Redefining name 'test_user' from outer scope (line 12)
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,92,60,Redefining name 'test_dishes' from outer scope (line 21)
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,97,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,99,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,107,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,112,34,Redefining name 'test_user' from outer scope (line 12)
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,112,45,Redefining name 'test_dishes' from outer scope (line 21)
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,115,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,125,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,128,0,Trailing whitespace
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,134,36,Redefining name 'test_user' from outer scope (line 12)
pylint,warning,W0621,redefined-outer-name,tests/test_order.py,134,47,Redefining name 'test_dishes' from outer scope (line 21)
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,137,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,tests/test_order.py,147,0,Trailing whitespace
